date,amount,category,description
24-08-2024,1000,Income,PocketMoney
25-08-2024,2400.0,Expense,Money spent on today's travelling
25-08-2024,4500.0,Income,Received cash prize
26-08-2024,3500.0,Income,Freelance project payment
27-08-2024,500.0,Expense,Coffee with friends
28-08-2024,7500.0,Income,Salary
29-08-2024,200.0,Expense,Bought a book
30-08-2024,3000.0,Expense,Monthly groceries
31-08-2024,600.0,Expense,Dinner at a restaurant
01-09-2024,1000.0,Income,Selling old gadgets
02-09-2024,150.0,Expense,Transport fare
03-09-2024,1200.0,Income,Reimbursement
04-09-2024,1800.0,Expense,Shopping
05-09-2024,2000.0,Expense,Electricity bill
06-09-2024,400.0,Expense,Subscription renewal
07-09-2024,350.0,Expense,Pet care
08-09-2024,10000.0,Income,Business profit
09-09-2024,500.0,Expense,Stationery
10-09-2024,12000.0,Income,Bonus
11-09-2024,650.0,Expense,Internet bill
12-09-2024,800.0,Expense,Fuel
13-09-2024,2000.0,Expense,Gift for a friend
14-09-2024,4500.0,Income,Project payment
15-09-2024,700.0,Expense,Household supplies
16-09-2024,1000.0,Income,Freelance work
17-09-2024,300.0,Expense,Charity donation
18-09-2024,2500.0,Expense,New gadgets
19-09-2024,4000.0,Income,Side hustle earnings
20-09-2024,1200.0,Expense,Clothing
21-09-2024,1500.0,Income,Part-time job
24-09-2024,4500.0,Income,Won cash prize at Loto
